,Sample Name,Project,Collection Date,Survey #,Station,Location,Tow #,Fish Per Vial,Fish Size,EtOh Date,# of Days in Formalin,EtOH vial Type,Lab ID,Genetics Results,# of Photos taken ,Comments,,Average days in Formalin
1,HYPO-0049,SLS,3/10/2026,6,711,Sac. River System,NA,Individual,6,4/14/2026,35,1mL Twist top,Hypomesus,,5,"Very skinny, heavily pigmented, large eyes",,19.3943662
2,HYPO-0050,SLS,3/10/2026,6,711,Sac. River System,NA,Individual,6,4/14/2026,35,1mL Twist top,Hypomesus,,5,"Has some yolk sac, very pigmented, very skinny, large eyes",,
3,HYPO-0051,20mm,3/16/2026,1,704,Sac. River System,2,Individual,9,4/17/2026,32,1mL Twist top,Wakasagi,,10,"Large eyes+pointy nape;same lateral-ventral pigments above gut, tiny pigments above gut, tiny pigments on celing of the air bladder",,
4,HYPO-0053,20mm,3/17/2026,1,804,Confluence,1,Individual,6,3/27/2026,10,1mL Twist top,Wakasagi,,5,,,
5,HYPO-0054,20mm,3/17/2026,1,719,Sac. River System,3,Individual,14,3/27/2026,10,1mL Twist top,Wakasagi,,5,"Big eye, pigmentation at cealing of airbladder, midventral lateral pigmentation, sharp nape ",,
6,HYPO-0055,20mm,3/17/2026,1,719,Sac. River System,3,Individual,14,3/27/2026,10,1mL Twist top,Wakasagi,,5,"Faint dorsal pigment, latteral pigment, sharp nape, big eyes, pigmentation at cealing of airbladder starting to show",,
7,HYPO-0056,20mm,3/16/2026,1,711,Sac. River System,2,Individual,6,3/27/2026,11,1mL Twist top,Wakasagi,,8,,,
8,HYPO-0057,20mm,3/16/2026,1,711,Sac. River System,3,Individual,6,3/27/2026,11,1mL Twist top,Wakasagi,,12,,,
9,HYPO-0058,20mm,3/17/2026,1,719,Sac. River System,1,Individual,8,3/30/2026,13,1mL Twist top,Wakasagi,,4,"Dorsal pigment on caudal peduncle, big eyes",,
10,HYPO-0059,20mm,3/17/2026,1,719,Sac. River System,1,Individual,10,3/30/2026,13,1mL Twist top,Wakasagi,,6,"Large eye socket, sharp nape",,
11,HYPO-0060,20mm,3/17/2026,1,719,Sac. River System,1,Individual,10,3/30/2026,13,1mL Twist top,Wakasagi,,4,"Large eyes, caudal peduncle dorsal pigment",,
12,HYPO-0061,20mm,3/17/2026,1,719,Sac. River System,2,Individual,10,3/30/2026,13,1mL Twist top,Wakasagi,,6,"Dorsal pigment on caudal peduncle, big eyes, deep notch, faint pigmentation at cealing of airbladder",,
13,HYPO-0062,20mm,3/17/2026,1,719,Sac. River System,2,Individual,12,3/30/2026,13,1mL Twist top,Wakasagi,,7,"Large eyes, caudal peduncle dorsal pigment, lateral pigment, deep notch",,
14,HYPO-0063,20mm,3/17/2026,1,719,Sac. River System,2,Individual,10,3/30/2026,13,1mL Twist top,Wakasagi,,6,"Deep notch, ""ticker body"" than LFS, eye ""not too big""",,
15,HYPO-0064,20mm,3/17/2026,1,719,Sac. River System,2,Individual,9,3/30/2026,13,1mL Twist top,Wakasagi,,9,"Eye doesn’t ""seem big"", deep notch, dorsal caudal pigment",,
16,HYPO-0065,20mm,3/17/2026,1,719,Sac. River System,2,Individual,8,3/30/2026,13,1mL Twist top,Wakasagi,,7,"Large eye, caudal melanophores, deep notch",,
17,HYPO-0066,20mm,3/17/2026,1,719,Sac. River System,2,Individual,Fragment,4/1/2026,15,1mL Twist top,Osmeridae,,5,,,
18,HYPO-0067,20mm,3/16/2026,1,706,Sac. River System,1,Individual,10,4/1/2026,16,1mL Twist top,Wakasagi,,8,"Large eyes compared to head, post anal pigmentation very ""spaced out"", dorsal gut pigmentation",,
19,HYPO-0068,20mm,3/30/2026,2,815,Central & South Delta,2,Individual,7,4/3/2026,4,1mL Twist top,Osmeridae,,9,Possible Hypo,,
20,HYPO-0069,20mm,3/30/2026,2,919,Central & South Delta,3,Individual,7,4/3/2026,4,1mL Twist top,Wakasagi,,8,,,
21,HYPO-0070,20mm,3/30/2026,2,906,Central & South Delta,1,Individual,6,4/4/2026,5,1mL Twist top,Wakasagi,,8,,,
22,HYPO-0072,20mm,4/1/2026,2,801,Confluence,2,Individual,7,4/15/2026,14,1mL Twist top,Hypomesus,,12,,,
23,HYPO-0075,20mm,3/17/2026,1,726,Sac. River System,1,Individual,10,4/15/2026,29,1mL Twist top,Wakasagi,,10,"Post-anal pigmentation, air bladder not really inflated too much, large eyes, pointy napes, lateral-ventral pigments above gut",,
